A,B,A',B',A'B,AB,AB',A'B',HWP A,HWP B,E,Comments:,Duration (s),Sub. Acc.?
48633.50,0.00,0.00,67458.30,0.00,0.00,1507.79,0.00,-45.00,-22.50,-1.00,-22.5 and -11.25,10.0,N
48638.40,0.00,0.00,60670.80,0.00,0.00,737.79,0.00,-45.00,22.50,-1.00,-22.5 and 11.25,10.0,N
48636.20,0.00,0.00,17735.20,0.00,0.00,294.07,0.00,-45.00,67.50,-1.00,-22.5 and 38.75,10.0,N
48664.40,0.00,0.00,27652.10,0.00,0.00,971.94,0.00,-45.00,112.50,-1.00,-22.5 and 56.25,10.0,N
82448.60,0.00,0.00,27633.50,0.00,0.00,584.42,0.00,0.00,112.50,-1.00,0 and 56.25,10.0,N
82437.00,0.00,0.00,17348.30,0.00,0.00,66.20,0.00,0.00,67.50,-1.00,0 and 38.75,10.0,N
82545.20,0.00,0.00,60675.50,0.00,0.00,2329.82,0.00,0.00,22.50,-1.00,0 and 11.25,10.0,N
82510.50,0.00,0.00,67633.10,0.00,0.00,2669.70,0.00,0.00,-22.50,-1.00,0 and -11.25,10.0,N
54558.30,0.00,0.00,67494.40,0.00,0.00,1298.88,0.00,45.00,-22.50,-1.00,22.5 and -11.25,10.0,N
54602.30,0.00,0.00,61141.70,0.00,0.00,1898.92,0.00,45.00,22.50,-1.00,,10.0,N
54656.50,0.00,0.00,47014.90,0.00,0.00,571.10,0.00,45.00,67.50,-1.00,10.0,N
54623.70,0.00,0.00,27851.90,0.00,0.00,181.59,0.00,45.00,112.50,-1.00,actually correct one,10.0,N
16967.00,0.00,0.00,27885.90,0.00,0.00,577.37,0.00,90.00,112.50,-1.00,,10.0,N
16831.90,0.00,0.00,17268.30,0.00,0.00,793.49,0.00,90.00,67.50,-1.00,,10.0,N
16905.70,0.00,0.00,60748.70,0.00,0.00,231.43,0.00,90.00,22.50,-1.00,,10.0,N
16865.80,0.00,0.00,67321.10,0.00,0.00,63.15,0.00,90.00,-22.50,-1.00,,10.0,N
